Sentence,Marathi Text,Base naturalness,R1,R2,R3,Base clarity,R1,R2,R3,Base artifacts,R1,R2,R3,Notes
01,"कदाचित आपण दोन्ही करू शकतो!",,,,,,,,,,,,
02,"ठीक आहे मग, मला मग नेहमीची अंडीच दे.",,,,,,,,,,,,
03,"३० सप्टेंबर १९६९ च्या दक्षिण मुंबईतील जुन्या-मोडकळीस आलेल्या इमारतींच्या पुनर्विकास आणि दुरूस्तीची संपूर्ण",,,,,,,,,,,,
04,"मनसेचे विभाग अध्यक्ष संतोष धुरी यांनी आश्वासन दिले आहे कि, “मनसे प्रमुख राज",,,,,,,,,,,,
05,"उन्हात लोखंड गरम होऊन ते किंचीत प्रसरण पावतं, तर हिवाळ्यात ते आकुंचन पावत",,,,,,,,,,,,
06,"सुरू आहे. यामुळे पुढील आठ दिवस ठाणे शहराला पिसे येथून होणारा पाणीपुरवठा कमी",,,,,,,,,,,,
07,"माझा पगार संजय राऊतांना देतो, त्यांनी त्यांचं घर चालवून दाखवावं",,,,,,,,,,,,
08,"मात्र पक्षाने त्यांना कोणतंही महत्वाचं पद न दिल्याने ते २०११ साली भाजपात दाखल",,,,,,,,,,,,
09,"दसरा मेळाव्यातला प्रकार पूर्वनियोजित -जोशी",,,,,,,,,,,,
10,"हो, मी check out करतोय.",,,,,,,,,,,,
